DATE;e5;e1;l_cpi;dl_cpi;l_gdp;dl_gdp;ip;u;cfnai;l_pnfuel;mb;l_dm1;l_dm2;l_dm2m;l_dmzm;l_dm4;u_dm1;u_dm2;u_dm2m;u_dmzm;u_dm4
1990-10-01;0.046;0.048;4.893352133481524;0.08123385666296556;;;4.168898387349564;0.059000000000000004;-0.0155;;5.732577231043727;5.977633546827469;5.857095146643412;5.730275240765081;5.746712919113595;6.071046222219503;0.13880058038741955;0.29282665898867216;0.2837004267274547;0.2833621394920843;0.29418487913180824
1990-11-01;0.046;0.047;4.895598484107897;0.0269562075164842;;;4.157089287970274;0.062;-0.020499999999999997;;5.748341477853365;5.980363533359427;5.8586801010336576;5.731816172007933;5.748419577738078;6.072440163384267;0.13818334723165912;0.2952588389607668;0.2837068515418534;0.28379484653154063;0.2993936887921871
1990-12-01;0.045;0.047;4.8993312245375815;0.04479288515620894;;;4.150501178133734;0.063;-0.014199999999999999;;5.753429414545614;5.9832576482457815;5.861669392646975;5.734541216884147;5.751800977322321;6.074683199986464;0.13531344298191447;0.2895180074591661;0.2763528258633584;0.2766305806716357;0.30239174163607035
1991-01-01;0.046;0.039;4.903050083416319;0.04462630654484556;;;4.146169798436841;0.064;-0.0163;4.520372446448478;5.735271451746144;5.9858848506398665;5.865600972091322;5.73888171266655;5.756924782354207;6.0811420099332585;0.12942622774268253;0.2768834382533445;0.2621999801201535;0.26208207549287;0.2975502816684429
1991-02-01;0.046;0.034;4.9037921984782065;0.00890538074265379;;;4.139294027005595;0.066;-0.015700000000000002;4.520775642398425;5.726668578442902;5.992456099995122;5.87244755237682;5.746863754228199;5.765687161298369;6.086906259156061;0.11978681558775894;0.25633570533585737;0.2408265899396139;0.2411121274149989;0.2773175224098174
1991-03-01;0.046;0.033;4.9037921984782065;0.0;;;4.133989864711751;0.068;-0.0149;4.5113157268406106;5.740079044872811;5.998042821412718;5.878851103695282;5.755112836777196;5.7740811133401735;6.088994527576455;0.11210770733228513;0.2282540605074024;0.21647370631202287;0.21803517836305653;0.23963349314037025
1991-04-01;0.042;0.032;4.906015244966153;0.026676557855360272;;;4.1359710330644885;0.067;-0.0023;4.504271530781171;5.749609522971965;6.001628414559388;5.883178781915191;5.761540287513809;5.780960468707748;6.089801098704213;0.10909365719590937;0.22576619098260545;0.2135574982768872;0.2143593909283766;0.2422805917880043
1991-05-01;0.044000000000000004;0.031;4.909709375506295;0.044329566481700056;;;4.145918150656938;0.069;-0.003;4.475189307400063;5.750472021374433;6.007445767545095;5.889137326559402;5.770230206388846;5.789681487880293;6.0939128706831385;0.10553668625451224;0.21859694331310547;0.20670545316990893;0.20800289991047355;0.2348382965873965
1991-06-01;0.045;0.033;4.912654885736052;0.03534612275709037;;;4.154843685967903;0.069;0.0009;4.456076260163991;5.762274628299293;6.015229004229722;5.894482357121531;5.778337050882912;5.797599482967827;6.098546154510058;0.1081254763492925;0.2347884379647804;0.21776372972535546;0.22005555719968295;0.2473475483402709
1991-07-01;0.042;0.031;4.9141243937154115;0.01763409575231023;;;4.155798643863172;0.068;-0.0012;4.434351967303817;5.768280369968554;6.019650204867148;5.896612277830178;5.7827287501125335;5.801743572949668;6.101768284763668;0.10835056631309753;0.2371060386382853;0.21922449560266455;0.2215805591853559;0.2496192383608692
1991-08-01;0.04;0.032;4.91705694713669;0.03519064105533687;;;4.156541280979648;0.069;-0.005;4.427602151664962;5.768480358094926;6.023874536227795;5.8982052487660885;5.785904595330218;5.805278012487691;6.103385485637872;0.10152761354149648;0.2126632989961354;0.1985175131404298;0.19984664669991054;0.2264331694947906
1991-09-01;0.039;0.03;4.919980925828125;0.0350877442972255;;;4.165348077675723;0.069;0.0042;4.4372404254207165;5.774007919545698;6.025894285552359;5.897691299500628;5.7874588806286535;5.8073753017496195;6.104871590953375;0.09969946778870267;0.21181202460730286;0.19520019471526173;0.19673922903972355;0.2275999590505164
1991-10-01;0.037000000000000005;0.032;4.921439715291784;0.017505473563911522;;;4.163547189486549;0.07;-0.0067;4.4242701620969225;5.77782877824179;6.034888959236009;5.902564800426028;5.795785264073357;5.816568967935695;6.1109325558411625;0.09594615849033393;0.20250107694053074;0.18616897090798867;0.1875241802318497;0.21861281557603054
