DATE;e5;e1;cpi;l_rgdp;l_pnfuel;l_dm1;l_dm2;l_dm2m;l_dmzm
2000-09-01;1.0986122886681098;2.9;5.15675380222625;9.44531877653524;4.367790691323478;6.594480287493577;6.3162053113391705;6.2934184348528674;6.345678293576901
2000-10-01;1.0986122886681098;3.2;5.158480421360237;9.449144137737779;4.343414039104462;6.5958738681230535;6.318628628474028;6.29552769665166;6.348253727678384
2000-11-01;1.0647107369924282;2.9;5.160204064418402;9.448483992357644;4.337607867335607;6.593220754021994;6.319672175343075;6.296133201515428;6.349266409617568
2000-12-01;1.0986122886681098;2.8;5.162497643405501;9.445491413445529;4.349597886276531;6.592651390252751;6.327308195548188;6.303984799152333;6.357669266782702
2001-01-01;1.0647107369924282;3.0;5.168208681201016;9.446413766694016;4.359398155302941;6.600084049080879;6.3366526797497285;6.3137739850316885;6.368672365703082
2001-02-01;1.0986122886681098;2.8;5.170483995038151;9.444269508840694;4.355795128494196;6.604687032991119;6.345591702807928;6.323691352710704;6.380566996783018
2001-03-01;1.0986122886681098;2.8;5.17105201550216;9.443905723416256;4.357789091968694;6.611608116499492;6.357538143144772;6.3375589831818875;6.395247023009515
2001-04-01;1.1314021114911006;3.1;5.172754143572691;9.448858066739096;4.362303520739114;6.619833359235509;6.370123716577164;6.35210482858642;6.410484543648323
2001-05-01;1.0986122886681098;3.2;5.177843213080163;9.454148777083727;4.377999344448023;6.6221068390538225;6.373502128689731;6.356437279586212;6.416574352155527
2001-06-01;1.0986122886681098;3.0;5.180096735160606;9.44743288125616;4.367229041185017;6.627748992855662;6.382984962580567;6.36801927186655;6.429563068077703
2001-07-01;1.0647107369924282;2.6;5.178407069875479;9.444780712019694;4.358930646011228;6.639231511592528;6.391108500449906;6.3781541184170285;6.44001370753716
2001-08-01;1.0986122886681098;2.7;5.178407069875479;9.455097787687292;4.33540515006315;6.6513442686755715;6.400828566500878;6.389900327977169;6.449141627339612
2001-09-01;1.0647107369924282;2.8;5.182345190295616;9.44101358853235;4.297132256539102;6.689331598794758;6.427404298347256;6.4206859131524565;6.4817522225443565
2001-10-01;0.9932517730102834;1.0;5.17953383055807;9.448856031756955;4.2537326821747445;6.671297804616108;6.421748000524207;6.415370107719284;6.4835078182472845
2001-11-01;1.0296194171811581;0.4;5.178970608915471;9.442629504908913;4.267688974087682;6.675820354510014;6.431774162879367;6.427643338324571;6.496644806740319
2001-12-01;1.0986122886681098;1.8;5.178407069875479;9.457735191622776;4.258580926746233;6.685659965344101;6.443451277229703;6.442470081891322;6.511537990318463
2002-01-01;0.9932517730102834;1.9;5.180096735160606;9.461265709992837;4.268337939699812;6.693489723745307;6.449757529691928;6.450957694212457;6.518418723728673
2002-02-01;1.0296194171811581;2.1;5.181783550292085;9.455399057482982;4.280063890053598;6.696000453202795;6.456035217805871;6.45905702212288;6.5263309400807525
2002-03-01;1.0296194171811581;2.7;5.184588601219693;9.460101593507938;4.308461399353321;6.7009733295219895;6.459573026704527;6.463962166969603;6.530801058680521
2002-04-01;1.0296194171811581;2.8;5.189060380611087;9.463537589132423;4.304039753872858;6.706384886638683;6.460800962323264;6.466142656267008;6.533318637192094
2002-05-01;1.0986122886681098;2.7;5.190175207928333;9.462818788134602;4.31331709610593;6.710461370181094;6.466659911217661;6.472828818026412;6.53972253856539
2002-06-01;1.0296194171811581;2.7;5.190732155868099;9.466921764186472;4.342630608815276;6.713829082438378;6.471778446502316;6.478763127605441;6.544327237801392
2002-07-01;1.0296194171811581;2.6;5.19295685089021;9.47182936722887;4.370929105864001;6.718811947800484;6.479646875766845;6.487848752374742;6.5520692977678285
2002-08-01;1.0647107369924282;2.6;5.195730777772936;9.467017380319993;4.3710757041022115;6.720374600913229;6.4871515223026845;6.4967273625177455;6.558102575917427
2002-09-01;0.9162907318741551;2.5;5.1973914479580765;9.468991384873174;4.394888455613312;6.727636436804127;6.4927484140755665;6.50389186358428;6.561999987646008
2002-10-01;1.0296194171811581;2.5;5.199601393608879;9.46582458076442;4.3992408015936615;6.73249358093754;6.500841036835044;6.513577918962198;6.567995336965888
2002-11-01;1.0296194171811581;2.4;5.201255653704905;9.46917858811161;4.38975446609116;6.7363420630472675;6.5096382284852;6.523859594074577;6.5856562307074205
2002-12-01;1.0296194171811581;2.5;5.202907181743378;9.474718233326957;4.38169305728999;6.743574893552662;6.5139884768040615;6.529387184289425;6.593559559210122
2003-01-01;0.9932517730102834;2.5;5.207297968160868;9.472216006604194;4.398533201233249;6.748391709087085;6.520156872130157;6.537185832368176;6.596611694019741
2003-02-01;0.9932517730102834;2.7;5.21275947818639;9.47830623730326;4.405343271111063;6.755081381438452;6.5268026907588315;6.54545523067873;6.602205574125872
